edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56600-AT4G17750,-1.728702,,,0.0,,5.6423855492362897e-14
AT1G56650-AT4G14090,8.975381,0.19709535608580608,1484.2653,0.029493174064882006,,0.00110399136266255
AT1G28300-AT4G14560,0.7439859999999999,,,0.00156078268525171,,2.0416303361664103e-07
AT4G36920-AT5G20240,3.542828,,,0.00681841529804157,,0.00012810556438808
AT5G14960-AT5G22220,0.873259,,,0.00519778564945627,,6.88657319935468e-07
AT5G60910-AT5G67110,7.432149000000001,0.36588421451411735,205.30795,0.0460435347440548,0.158694,0.006259291320483479
AT5G60910-AT5G61850,1.184652,,,0.0,,1.69049048332694e-06
AT5G57050-AT5G67300,0.961201,,,0.000512735499906656,,3.27057836636054e-05
AT5G56110-AT5G62380,-1.254,,,0.0,,1.54480394518599e-10
AT5G53460-AT5G61420,0.973019,,,0.0163511241543758,,3.93933039116408e-05
AT5G52830-AT5G65010,0.7997850000000001,,,0.000789585525593716,,7.4960664152463595e-06
AT5G51990-AT5G52310,0.4706010000000001,,,0.000561216422536367,,3.42080113507274e-07
AT5G51600-AT5G61850,2.562322,,,0.00994986731250857,,0.00020186146173669
AT5G45980-AT5G59340,2.285359,,,0.0039391805618153395,,5.38861587687418e-07
AT5G44420-AT5G67300,-0.70319,,,0.0,,1.15539968391876e-12
AT5G44420-AT5G62020,0.8926719999999999,,,0.0077490748549821,,3.98519001354367e-05
AT5G44420-AT5G47220,-0.56879,,,0.0,,2.3772272184085997e-09
AT5G40330-AT5G53200,-0.7786770000000001,,,0.0,,3.11503963976837e-10
AT5G35550-AT5G42800,7.4729160000000014,,,0.0095873185925115,,8.034693414562471e-05
AT5G23000-AT5G53950,0.063498,,,0.0013257441472758,,5.574918881123429e-07
AT5G23010-AT5G61420,11.833777,,515.6562,0.0304634783792875,,0.0056074245886401294
AT5G18560-AT5G61850,-0.277068,,,0.0,,2.5813163247324207e-09
AT5G13790-AT5G45890,2.6114740000000003,,,0.0065619570492995785,,0.000119223687709885
AT5G12870-AT5G62380,1.04939,,,0.00499061754391515,,4.93698870080333e-06
AT5G12030-AT5G16820,-0.386901,,,0.0008660247500827839,,8.42498391970665e-07
AT5G11530-AT5G61850,0.604916,,,0.0106262249372614,,2.0051442323060894e-05
AT5G11260-ATCG00270,-0.224865,,,0.0,,4.89594144729894e-10
AT5G11260-AT5G42800,-0.794292,,,0.00175649142608309,,2.65533307873941e-07
AT5G11260-AT5G13930,2.049348,,,0.0199030120268919,,5.1584614806555295e-05
AT5G07700-AT5G23010,0.320833,,,0.000723753736248013,,2.96550957799592e-08
AT5G07690-AT5G61420,9.102525,,,0.0261030868037477,,0.000613176823283642
AT5G07690-AT5G23010,16.169641,,499.07574000000005,0.0231433714440402,,0.0024188545952453303
AT5G06960-AT5G44420,-1.31136,,,0.0,,6.838406486815551e-09
AT5G07100-AT5G60890,1.308033,,,0.00236538158451597,,4.4252551204656e-05
AT5G06100-AT5G61850,0.12655999999999998,,,0.00684076830105653,,5.96915925405138e-06
AT5G05730-AT5G60890,0.103909,,,0.00572376632409521,,4.741376661643e-06
AT5G05410-AT5G59720,3.968508,,,0.0112999047080777,,0.000150265096778112
AT5G05410-AT5G52310,1.487808,,,0.0038360879601144703,,2.49514671247436e-05
AT5G05410-AT5G52300,3.442178,,,0.0,,7.033203201566888e-07
AT5G04560-AT5G48670,-1.811473,,,0.0,,3.51955363521295e-10
AT5G04560-AT5G48670,-1.811473,,,0.0,,1.98919729945067e-06
AT5G04560-AT5G48670,-1.811473,,,0.0,,2.77300555700617e-07
AT5G04560-AT5G48670,-1.811473,,,0.00581684180732362,,3.51955363521295e-10
AT5G04560-AT5G48670,-1.811473,,,0.00581684180732362,,1.98919729945067e-06
AT5G04560-AT5G48670,-1.811473,,,0.00581684180732362,,2.77300555700617e-07
AT5G04560-AT5G48670,-1.811473,,,0.0073430262921510905,,3.51955363521295e-10
AT5G04560-AT5G48670,-1.811473,,,0.0073430262921510905,,1.98919729945067e-06
AT5G04560-AT5G48670,-1.811473,,,0.0073430262921510905,,2.77300555700617e-07
AT5G04560-AT5G48670,0.627009,,,0.0,,3.51955363521295e-10
